"film_id","title","actor_id","actor_name"
735,"Robbers Joon",142,"Jada Ryder"
738,"Rocketeer Mother",119,"Warren Jackman"
31,"Apache Divine",15,"Cuba Olivier"
489,"Juggler Hardly",33,"Milla Peck"
1000,"Zorro Ark",178,"Lisa Monroe"
753,"Rush Goodfellas",144,"Angela Witherspoon"
369,"Goodfellas Salute",22,"Elvis Marx"
767,"Scalawag Duck",61,"Christian Neeson"
738,"Rocketeer Mother",35,"Judy Dean"
331,"Forward Temple",72,"Sean Williams"
369,"Goodfellas Salute",2,"Nick Wahlberg"
767,"Scalawag Duck",45,"Reese Kilmer"
418,"Hobbit Alien",119,"Warren Jackman"
973,"Wife Turn",157,"Greta Malden"
753,"Rush Goodfellas",109,"Sylvester Dern"
730,"Ridgemont Submarine",199,"Julia Fawcett"
735,"Robbers Joon",103,"Matthew Leigh"
973,"Wife Turn",28,"Woody Hoffman"
767,"Scalawag Duck",78,"Groucho Sinatra"
767,"Scalawag Duck",160,"Chris Depp"
489,"Juggler Hardly",179,"Ed Guiness"
891,"Timberland Sky",57,"Jude Cruise"
489,"Juggler Hardly",139,"Ewan Gooding"
331,"Forward Temple",86,"Greg Chaplin"
891,"Timberland Sky",163,"Christopher West"
489,"Juggler Hardly",120,"Penelope Monroe"
891,"Timberland Sky",51,"Gary Phoenix"
382,"Grit Clockwork",151,"Geoffrey Heston"
973,"Wife Turn",107,"Gina Degeneres"
382,"Grit Clockwork",127,"Kevin Garland"
369,"Goodfellas Salute",5,"Johnny Lollobrigida"
489,"Juggler Hardly",54,"Penelope Pinkett"
418,"Hobbit Alien",22,"Elvis Marx"
369,"Goodfellas Salute",107,"Gina Degeneres"
730,"Ridgemont Submarine",140,"Whoopi Hurt"
1000,"Zorro Ark",155,"Ian Tandy"
31,"Apache Divine",60,"Henry Berry"
369,"Goodfellas Salute",197,"Reese West"
31,"Apache Divine",49,"Anne Cronyn"
621,"Network Peak",50,"Natalie Hopkins"
735,"Robbers Joon",118,"Cuba Allen"
973,"Wife Turn",47,"Julia Barrymore"
735,"Robbers Joon",33,"Milla Peck"
973,"Wife Turn",111,"Cameron Zellweger"
738,"Rocketeer Mother",117,"Renee Tracy"
103,"Bucket Brotherhood",89,"Charlize Dench"
753,"Rush Goodfellas",173,"Alan Dreyfuss"
621,"Network Peak",93,"Ellen Presley"
103,"Bucket Brotherhood",51,"Gary Phoenix"
735,"Robbers Joon",65,"Angela Hudson"
103,"Bucket Brotherhood",193,"Burt Temple"
753,"Rush Goodfellas",79,"Mae Hoffman"
489,"Juggler Hardly",111,"Cameron Zellweger"
418,"Hobbit Alien",197,"Reese West"
753,"Rush Goodfellas",43,"Kirk Jovovich"
418,"Hobbit Alien",14,"Vivien Bergen"
621,"Network Peak",43,"Kirk Jovovich"
331,"Forward Temple",68,"Rip Winslet"
489,"Juggler Hardly",137,"Morgan Williams"
103,"Bucket Brotherhood",32,"Tim Hackman"
369,"Goodfellas Salute",126,"Frances Tomei"
738,"Rocketeer Mother",42,"Tom Miranda"
418,"Hobbit Alien",159,"Laura Brody"
103,"Bucket Brotherhood",26,"Rip Crawford"
382,"Grit Clockwork",111,"Cameron Zellweger"
418,"Hobbit Alien",102,"Walter Torn"
418,"Hobbit Alien",129,"Daryl Crawford"
369,"Goodfellas Salute",83,"Ben Willis"
738,"Rocketeer Mother",195,"Jayne Silverstone"
31,"Apache Divine",2,"Nick Wahlberg"
738,"Rocketeer Mother",194,"Meryl Allen"
738,"Rocketeer Mother",98,"Chris Bridges"
418,"Hobbit Alien",59,"Dustin Tautou"
891,"Timberland Sky",152,"Ben Harris"
489,"Juggler Hardly",154,"Meryl Gibson"
767,"Scalawag Duck",57,"Jude Cruise"
730,"Ridgemont Submarine",123,"Julianne Dench"
730,"Ridgemont Submarine",185,"Michael Bolger"
973,"Wife Turn",185,"Michael Bolger"
103,"Bucket Brotherhood",92,"Kirsten Akroyd"
369,"Goodfellas Salute",110,"Susan Davis"
489,"Juggler Hardly",122,"Salma Nolte"
730,"Ridgemont Submarine",5,"Johnny Lollobrigida"
1000,"Zorro Ark",166,"Nick Degeneres"
