Transaction_ID,Customer_ID,Purchase_Amount,Date
TRANS0001,CUST007,289.47,2024-02-05
TRANS0002,CUST010,181.37,2024-02-08
TRANS0003,CUST005,178.25,2024-02-05
TRANS0004,CUST003,357.46,2024-03-02
TRANS0005,CUST002,203.85,2024-02-23
TRANS0006,CUST008,403.68,2024-02-02
TRANS0007,CUST009,409.53,2024-02-07
TRANS0008,CUST001,197.69,2024-02-01
TRANS0009,CUST007,436.41,2024-02-21
TRANS0010,CUST003,94.03,2024-02-01
TRANS0011,CUST003,468.29,2024-02-06
TRANS0012,CUST010,371.66,2024-02-13
TRANS0013,CUST006,235.55,2024-02-29
TRANS0014,CUST007,377.7,2024-02-04
TRANS0015,CUST004,53.5,2024-02-19
TRANS0016,CUST003,394.91,2024-02-05
TRANS0017,CUST004,79.55,2024-03-01
TRANS0018,CUST001,49.23,2024-02-01
TRANS0019,CUST006,373.16,2024-02-09
TRANS0020,CUST006,492.01,2024-02-17
TRANS0021,CUST006,341.39,2024-02-19
TRANS0022,CUST009,331.44,2024-02-22
TRANS0023,CUST005,178.95,2024-02-17
TRANS0024,CUST007,10.42,2024-03-01
TRANS0025,CUST001,362.36,2024-02-26
TRANS0026,CUST010,118.77,2024-03-01
TRANS0027,CUST001,336.57,2024-02-11
TRANS0028,CUST002,19.09,2024-02-06
TRANS0029,CUST006,153.62,2024-02-02
TRANS0030,CUST004,476.57,2024-02-27
